#x Curve1
0.0700686 -0.00182767
0.420951 -0.00173513
0.771834 -0.00164259
1.08774 0.000286875
1.43862 0.000379416
2.07053 0.00608454
2.42152 0.00802326
2.73764 0.0136451
3.05397 0.0229593
3.30035 0.0359473
3.3715 0.0525815
3.44275 0.0710618
3.61906 0.0858776
3.86543 0.0988656
4.1118 0.111854
4.25313 0.128506
4.39445 0.145159
4.46571 0.163639
4.50188 0.18211
4.53805 0.200581
4.57421 0.219053
4.60909 0.215369
4.67592 0.158156
4.74501 0.139713
4.84931 0.123125
4.98869 0.106546
5.19835 0.0918325
5.4783 0.0789833
5.75847 0.0698264
6.10903 0.0643804
6.42504 0.0681561
6.59983 0.0571252
6.73921 0.0405466
6.91379 0.0258234
7.08837 0.0111002
7.43936 0.013039
7.75537 0.0168146
8.10636 0.0187533
8.42237 0.022529
8.77347 0.0263139
9.08969 0.0337819
9.40592 0.0412499
9.72226 0.0505641
9.96863 0.0635522
10.145 0.0802141
10.2163 0.0986944
10.2868 0.104251
10.3559 0.0858081
10.425 0.0673648
10.5995 0.0507955
10.739 0.036063
11.019 0.02506
11.3001 0.0325187
11.4765 0.0473344
11.7577 0.0566394
12.1088 0.0604243
12.4247 0.0623538
12.6696 0.0494953
13.0202 0.0458954
13.3358 0.0422864
13.6865 0.0386865
13.7577 0.0571669
13.7939 0.075638
13.795 0.0940998
13.8311 0.112571
13.8673 0.131042
13.9035 0.149513
13.9396 0.167984
13.9758 0.186455
14.012 0.204926
14.013 0.221542
14.0491 0.240013
14.0502 0.258475
14.0864 0.276946
14.0875 0.295408
14.1236 0.313879
14.1247 0.332341
14.1258 0.350802
14.1619 0.369273
14.163 0.387735
14.1973 0.372975
14.2624 0.286223
14.2964 0.26777
14.4011 0.258567
14.4723 0.277048
14.5436 0.295528
14.5798 0.313999
14.6159 0.33247
14.617 0.350932
14.6181 0.369394
14.6543 0.387865
14.6553 0.406327
14.6564 0.424789
14.6926 0.44326
14.6937 0.461721
14.6947 0.480183
14.6958 0.498645
14.6969 0.517107
14.7331 0.535578
14.7342 0.55404
14.7348 0.565117
14.7352 0.572502
14.8295 0.384219
14.8306 0.402681
14.8603 0.310381
14.8613 0.328843
14.8624 0.347304
14.8635 0.365766
14.891 0.236543
14.8921 0.255005
14.8932 0.273466
14.8943 0.291928
14.9229 0.181166
14.924 0.199628
14.925 0.21809
14.9547 0.12579
14.9558 0.144252
14.9569 0.162714
14.9887 0.107338
15.0578 0.0888944
15.1621 0.0723065
15.3015 0.0557279
15.4408 0.0373031
